no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,서동명,울산,0,12,0
2,김용대,부산,0,9,0
2,이용발,전북,0,9,0
4,김영광1,전남,0,8,0
4,김태진2,대구,0,8,0
4,이운재,수원,0,8,0
4,조준호,부천SK,0,8,0
8,김병지,포항,0,7,0
8,박동석,서울,0,7,0
10,김이섭,인천,0,6,0
