no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,조준호,부천SK,0,12,0
2,김병지,포항,0,10,0
3,김이섭,인천,0,7,0
3,서동명,울산,0,7,0
3,최은성,대전,0,7,0
6,김영광1,전남,0,6,0
7,김진식,대구,0,5,0
8,김용대,부산,0,4,0
8,김해운,성남,0,4,0
8,박동석,서울,0,4,0
