no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,김병지,현대,0,10,0
1,신의손,일화,0,10,0
1,이명열,포철,0,10,0
4,차상광,유공,0,4,0
5,박철우,LG,0,3,0
6,김풍주,대우,0,2,0
6,류영록,대우,0,2,0
6,신범철,대우,0,2,0
6,최인영,현대,0,2,0
10,김민철,유공,0,1,0
10,김봉수,LG,0,1,0
10,샤샤1,유공,0,1,0
10,성원종,버팔,0,1,0
