no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,신의손,일화,0,17,0
2,박철우,LG,0,10,0
3,김병지,현대,0,9,0
4,김풍주,대우,0,7,0
4,이명열,포철,0,7,0
6,최인영,현대,0,6,0
7,유대순,유공,0,5,0
8,토체프,유공,0,4,0
9,김동훈,대우,0,2,0
9,김봉수,LG,0,2,0
