no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,차상광,럭금,0,11,0
2,김동훈,대우,0,8,0
2,유대순,유공,0,8,0
4,나치선,일화,0,7,0
5,오연교,현대,0,6,0
5,이문영,유공,0,6,0
5,정기동,포철,0,6,0
5,최인영,현대,0,6,0
9,김영호1,일화,0,4,0
10,정성교,대우,0,3,0
