no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,오연교,현대,0,9,0
2,이문영,유공,0,8,0
3,차상광,럭금,0,6,0
4,조병득,포철,0,5,0
5,정기동,포철,0,4,0
6,김풍주,대우,0,3,0
7,김동훈,대우,0,1,0
7,김현태,럭금,0,1,0
7,정성교,대우,0,1,0
