no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,김풍주,대우,0,10,0
2,조병득,할렐,0,9,0
3,김현태,럭금,0,7,0
3,김황호,현대,0,7,0
5,박철우,포철,0,6,0
6,이주한,한일,0,5,0
7,이관호,상무,0,4,0
8,김영호1,유공,0,3,0
9,오연교,유공,0,2,0
9,정기동,포철,0,2,0
