no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,정성교,대우,0,5,0
1,조병득,할렐,0,5,0
3,오연교,유공,0,3,0
4,강창근,국민,0,2,0
4,박영수,유공,0,2,0
4,임용주,포철,0,2,0
7,김풍주,대우,0,1,0
