no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,정성룡,수원,0,11,0
2,이운재,전남,0,10,0
3,신화용,포항,0,9,0
4,김병지,경남,0,8,0
4,김영광1,울산,0,8,0
4,박호진,광주,0,8,0
4,최은성,대전,0,8,0
8,김지혁,상주,0,7,0
8,유현,강원,0,7,0
