no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,신의손,안양LG,0,13,0
2,이용발,부천SK,0,9,0
2,최은성,대전,0,9,0
4,김병지,포항,0,7,0
4,김해운,성남,0,7,0
4,서동명,전북,0,7,0
4,정유석,부산,0,7,0
8,양지원,울산,0,5,0
9,권찬수,성남,0,3,0
9,박종문,전남,0,3,0
