no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,신화용,포항,0,17,0
2,권순태,전북,0,13,0
2,박준혁,성남,0,13,0
4,유상훈,서울,0,11,0
5,김병지,전남,0,8,0
5,정성룡,수원,0,8,0
7,김승규,울산,0,7,0
7,김호준1,제주,0,7,0
7,유현,인천,0,7,0
