no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,김병지,울산,0,8,0
2,박종문,전남,0,7,0
3,신범철,부산,0,5,0
3,일리치,부산,0,5,0
3,최은성,대전,0,5,0
6,김이섭,포항,0,3,0
6,드라간1,포항,0,3,0
6,박철우,수원,0,3,0
6,알렉세이2,전북,0,3,0
10,이운재,수원,0,2,0
10,임종국,안양LG,0,2,0
