no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,정기동,포철,0,7,0
2,김성수,한일,0,5,0
2,김현태,럭금,0,5,0
2,최인영,현대,0,5,0
5,김영호1,유공,0,4,0
6,김풍주,대우,0,3,0
7,정성교,대우,0,2,0
7,차상광,럭금,0,2,0
7,호성호,현대,0,2,0
