no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,이호승,전남,0,9,0
2,김용대,울산,0,8,0
3,조수혁,인천,0,7,0
4,권순태,전북,0,6,0
4,김호준1,제주,0,6,0
4,윤보상,광주,0,6,0
7,김동준,성남,0,5,0
7,김진영,포항,0,5,0
9,양형모,수원,0,4,0
9,유상훈,서울,0,4,0
9,유현,서울,0,4,0
9,이창근,수원FC,0,4,0
