no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,김풍주,대우,0,10,0
2,이문영,유공,0,8,0
3,정성교,대우,0,7,0
4,정기동,포철,0,6,0
5,차상광,럭금,0,5,0
6,김현태,럭금,0,4,0
6,조병득,포철,0,4,0
6,호성호,현대,0,4,0
