no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,김병지,서울,0,15,0
2,김영광1,울산,0,11,0
2,김용대,성남,0,11,0
2,이운재,수원,0,11,0
5,이정래,경남,0,9,0
6,최은성,대전,0,8,0
7,염동균,전남,0,7,0
8,신화용,포항,0,6,0
8,정유석,부산,0,6,0
