no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,권순태,전북,0,18,0
2,신화용,포항,0,14,0
3,정성룡,수원,0,13,0
4,권정혁,인천,0,11,0
4,김호준1,제주,0,11,0
4,박준혁,성남,0,11,0
7,김승규,울산,0,10,0
8,김영광1,경남,0,9,0
8,이범영,부산,0,9,0
10,김병지,전남,0,8,0
