no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,이운재,수원,0,12,0
1,정성룡,성남,0,12,0
3,김영광1,울산,0,9,0
4,최은성,대전,0,8,0
5,김호준1,서울,0,7,0
6,김이섭,인천,0,6,0
6,이광석,경남,0,6,0
8,김용대,광주상,0,5,0
8,조준호,제주,0,5,0
10,김지혁,포항,0,4,0
