no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,이명열,포항,0,9,0
2,박철우,수원,0,8,0
3,김병지,울산,0,7,0
4,샤샤1,부천유공,0,6,0
5,알렉세이2,전북,0,5,0
5,일리치,부산,0,5,0
5,페트로,전남,0,5,0
8,신의손,천안,0,4,0
8,이운재,수원,0,4,0
