no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,오연교,유공,0,13,0
2,김풍주,대우,0,10,0
3,조병득,할렐,0,7,0
4,최인영,현대,0,6,0
5,김현태,럭금,0,5,0
5,김황호,현대,0,5,0
7,정성교,대우,0,4,0
8,이춘섭,한일,0,3,0
8,전운선,국민,0,3,0
