no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,신의손,일화,0,14,0
2,차상광,포철,0,12,0
3,김동훈,대우,0,8,0
4,이문영,유공,0,6,0
4,최인영,현대,0,6,0
6,김봉수,LG,0,5,0
7,성원종,대우,0,2,0
7,유대순,유공,0,2,0
7,임종국,LG,0,2,0
10,류제식,대우,0,1,0
10,박철우,LG,0,1,0
