no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,서동명,울산,0,17,0
2,김병지,포항,0,15,0
2,이운재,수원,0,15,0
4,최은성,대전,0,14,0
5,박종문,전남,0,10,0
6,권찬수,성남,0,9,0
6,김용대,부산,0,9,0
6,김해운,성남,0,9,0
9,이광석,광주상,0,8,0
