no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,김병지,현대,0,10,0
1,드라간1,포항,0,10,0
1,신의손,일화,0,10,0
4,샤샤1,유공,0,8,0
5,일리치,대우,0,4,0
6,김봉수,LG,0,3,0
6,송덕균,전북,0,3,0
6,알렉세이2,전북,0,3,0
6,유리쉬쉬킨,전남,0,3,0
10,신범철,대우,0,2,0
