no,name,team,offSide,numOfGame,offSidePerGame
1,다실바,부산,35,24,1.46
2,라돈치치,인천,33,22,1.5
3,레안드롱,대전,30,19,1.58
4,루시아노,부산,27,22,1.23
5,네또,전북,26,20,1.3
6,김도훈,성남,22,20,1.1
7,박주영,서울,21,19,1.11
8,공오균,대전,20,21,0.95
9,웰링턴,포항,19,12,1.58
10,밀톤,전북,14,11,1.27
10,김동현3,수원,14,17,0.82
10,이동국,포항,14,17,0.82
10,박성배,부산,14,20,0.7
10,김길식,부천SK,14,21,0.67
