no,name,team,offSide,numOfGame,offSidePerGame
1,함현기,현대,14,20,0.7
2,피아퐁,럭금,12,8,1.5
2,신동철,유공,12,13,0.92
2,조성규,한일,12,18,0.67
5,이학종,한일,11,10,1.1
6,최진한,럭금,10,14,0.71
6,강득수,럭금,10,15,0.67
8,이영진,럭금,8,15,0.53
8,정해원,대우,8,19,0.42
10,조긍연,포철,7,18,0.39
10,황석근,한일,7,18,0.39
