no,name,team,offSide,numOfGame,offSidePerGame
1,이원식,부천SK,29,18,1.61
2,이상윤,천안,24,12,2
2,유상철,울산,24,20,1.2
4,박성배,전북,23,17,1.35
5,김현석2,울산,21,18,1.17
6,샤샤2,수원,19,18,1.06
6,고종수,수원,19,19,1
8,하은철,전북,18,16,1.13
8,빅토르,안양LG,18,17,1.06
