no,name,team,offSide,numOfGame,offSidePerGame
1,샤샤2,수원,68,26,2.62
2,세자르2,전남,43,27,1.59
2,마니치,부산,43,30,1.43
4,세르게이,천안,37,25,1.48
5,빅토르,울산,29,20,1.45
6,박성배,전북,28,21,1.33
6,이원식,부천SK,28,29,0.97
8,안정환,부산,25,24,1.04
9,김종현,전남,24,27,0.89
