no,name,team,offSide,numOfGame,offSidePerGame
1,이동국,전북,30,29,1.03
2,오베라,제주,27,17,1.59
3,챠디,인천,26,18,1.44
3,데닐손,포항,26,24,1.08
3,인디오,경남,26,27,0.96
6,최성국,광주상,23,26,0.88
7,방승환,제주,22,23,0.96
8,슈바,전남,19,27,0.7
9,스테보,포항,17,20,0.85
