no,name,team,offSide,numOfGame,offSidePerGame
1,최용수1,LG,34,21,1.62
2,송주석,현대,26,23,1.13
3,고정운,일화,23,25,0.92
3,김봉길,전남,23,25,0.92
5,세베로,현대,22,17,1.29
6,황선홍,포항,18,24,0.75
6,노상래,전남,18,26,0.69
8,김도훈,전북,16,18,0.89
8,샤샤2,대우,16,25,0.64
