no,name,team,offSide,numOfGame,offSidePerGame
1,박기동,광주,33,27,1.22
2,설기현,울산,28,34,0.82
3,데얀,서울,26,30,0.87
4,김신욱,울산,25,35,0.71
5,서동현,강원,24,25,0.96
5,김영후,강원,24,28,0.86
7,한교원,인천,21,27,0.78
8,웨슬리,전남,20,24,0.83
8,김현성,대구,20,26,0.77
