no,name,team,offSide,numOfGame,offSidePerGame
1,이근호,대구,42,26,1.62
2,데얀,서울,32,29,1.1
3,데닐손,포항,22,19,1.16
4,스테보,포항,21,22,0.95
4,조진수,제주,21,23,0.91
4,라돈치치,인천,21,26,0.81
7,보르코,인천,16,22,0.73
8,시몬,전남,14,14,1
8,주광윤,전남,14,15,0.93
