no,name,team,offSide,numOfGame,offSidePerGame
1,스테보,전북,36,25,1.44
2,루이지뉴,대구,34,23,1.48
3,까보레,경남,30,26,1.15
4,이천수,울산,22,16,1.38
5,조진수,제주,21,19,1.11
6,뽀뽀,경남,20,21,0.95
6,우성용,울산,20,26,0.77
8,데닐손,대전,17,24,0.71
9,산드로2,전남,15,26,0.58
10,라돈치치,인천,14,11,1.27
10,이근호,대구,14,20,0.7
10,이따마르,성남,14,20,0.7
10,박성호,부산,14,23,0.61
10,정경호,전북,14,23,0.61
10,김동현3,성남,14,25,0.56
