no,name,team,offSide,numOfGame,offSidePerGame
1,조긍연,포철,51,39,1.31
2,윤상철,럭금,37,38,0.97
3,최진한,럭금,25,38,0.66
4,이흥실,포철,21,39,0.54
4,강재순,현대,21,40,0.53
6,변병주,대우,19,19,1
6,이기근,포철,19,33,0.58
8,노수진,유공,18,30,0.6
9,노경환,대우,17,37,0.46
10,김종건1,현대,16,18,0.89
10,백종철,일화,16,22,0.73
10,이태호,대우,16,25,0.64
