no,name,team,offSide,numOfGame,offSidePerGame
1,백종철,현대,21,28,0.75
2,최덕주,한일,17,19,0.89
3,오석재,할렐,16,22,0.73
4,이태호,대우,14,20,0.7
4,렌스베르겐,현대,14,27,0.52
6,김병환,국민,12,18,0.67
6,정해원,대우,12,23,0.52
6,최순호,포철,12,24,0.5
9,황석근,한일,11,24,0.46
