no,name,team,offSide,numOfGame,offSidePerGame
1,웨슬리,강원,51,36,1.42
2,설기현,인천,43,40,1.07
3,데얀,서울,41,42,0.98
4,에벨톤,성남,39,36,1.08
5,라돈치치,수원,38,31,1.23
5,서동현,제주,38,43,0.88
7,이동국,전북,36,40,0.9
8,마라냥,울산,28,39,0.72
9,송제헌,대구,27,36,0.75
