no,name,team,offSide,numOfGame,offSidePerGame
1,샤샤2,성남,53,25,2.12
2,박정환,안양LG,28,16,1.75
3,찌코,전남,26,23,1.13
4,파울링뇨,울산,25,22,1.14
4,김도훈,전북,25,26,0.96
6,마니치,부산,23,16,1.44
6,데니스,수원,23,25,0.92
8,세자르2,전남,22,26,0.85
9,서정원,수원,19,25,0.76
10,이동국,포항,18,17,1.06
