no,name,team,offSide,numOfGame,offSidePerGame
1,함현기,현대,32,23,1.39
2,최진한,럭금,31,23,1.35
3,신동철,유공,24,23,1.04
4,이태호,대우,15,12,1.25
4,안기철,대우,15,23,0.65
6,백종철,현대,14,20,0.7
7,윤상철,럭금,12,18,0.67
8,임고석,현대,11,19,0.58
9,김홍운1,포철,10,21,0.48
