no,name,team,offSide,numOfGame,offSidePerGame
1,마니치,부산,50,25,2
2,샤샤2,수원,39,14,2.79
3,최용수1,안양LG,36,25,1.44
4,죠이,성남,35,27,1.3
5,이상윤,성남,29,25,1.16
6,세자르2,전남,26,27,0.96
7,꼬레아,전북,25,22,1.14
8,김도훈,전북,23,20,1.15
9,우성용,부산,22,24,0.92
10,박성배,전북,19,23,0.83
10,정광민,안양LG,19,26,0.73
