no,name,team,offSide,numOfGame,offSidePerGame
1,슈바,대전,33,24,1.38
2,우성용,성남,29,28,1.04
3,다실바,제주,21,14,1.5
3,루시아노,경남,21,26,0.81
5,이따마르,성남,20,25,0.8
6,소말리아,부산,19,16,1.19
7,제칼로,전북,18,15,1.2
8,프론티니,포항,17,20,0.85
9,라돈치치,인천,16,23,0.7
9,에듀2,대구,16,24,0.67
9,박주영,서울,16,26,0.62
