no,name,team,offSide,numOfGame,offSidePerGame
1,빅토르,안양LG,20,14,1.43
2,송주석,울산,16,16,1
3,김봉길,전남,13,15,0.87
3,김현민,대전,13,15,0.87
5,스카첸코,전남,12,15,0.8
5,이진행,수원,12,15,0.8
7,세르게이,부천SK,11,12,0.92
7,김인완,전남,11,13,0.85
9,서정원,안양LG,10,6,1.67
9,박지호,포항,10,10,1
9,장영훈,포항,10,12,0.83
9,정성천,대전,10,14,0.71
