no,name,team,offSide,numOfGame,offSidePerGame
1,임재선,현대,22,26,0.85
2,윤상철,LG,20,27,0.74
3,이기근,대우,19,23,0.83
3,이상윤,일화,19,29,0.66
5,김봉길,유공,17,29,0.59
6,강재순,현대,16,27,0.59
7,김이주,일화,14,24,0.58
8,신태용,일화,13,28,0.46
9,차상해,포철,12,23,0.52
