no,name,team,offSide,numOfGame,offSidePerGame
1,김동섭,성남,29,36,0.81
2,설기현,인천,28,26,1.08
2,지쿠,강원,28,27,1.04
2,아사모아,대구,28,33,0.85
5,김신욱,울산,27,36,0.75
6,임상협,부산,26,36,0.72
7,디오고,인천,23,32,0.72
8,데얀,서울,22,29,0.76
9,레오나르도,전북,21,37,0.57
