no,name,team,offSide,numOfGame,offSidePerGame
1,피아퐁,럭금,23,21,1.1
2,조성규,한일,19,21,0.9
3,호샤,포철,15,16,0.94
4,김종환,현대,14,15,0.93
5,강득수,럭금,12,21,0.57
6,유재영,한일,11,17,0.65
7,이상철1,현대,10,15,0.67
7,최상국,포철,10,20,0.5
9,정해원,대우,9,17,0.53
10,황석근,한일,8,14,0.57
10,오석재,할렐,8,17,0.47
