no,name,team,offSide,numOfGame,offSidePerGame
1,김현석2,현대,36,29,1.24
2,고정운,일화,31,26,1.19
3,하석주,대우,20,22,0.91
3,윤상철,LG,20,28,0.71
3,이상윤,일화,20,28,0.71
6,김봉길,유공,17,25,0.68
7,서정원,LG,14,16,0.88
7,이원철,포철,14,19,0.74
9,임재선,현대,13,18,0.72
10,라데,포철,11,12,0.92
