no,name,team,offSide,numOfGame,offSidePerGame
1,쿠키2,부산,37,20,1.85
2,우성용,포항,36,26,1.38
3,김도훈,성남,31,23,1.35
3,나드손,수원,31,26,1.19
5,가우초,부산,29,11,2.64
6,노나또,대구,27,23,1.17
7,안젤코비치,인천,22,11,2
8,데니스,성남,21,18,1.17
8,이따마르,전남,21,22,0.95
