no,name,team,offSide,numOfGame,offSidePerGame
1,라데,포철,31,27,1.15
2,이기근,대우,22,17,1.29
3,고정운,일화,21,21,1
3,최용수1,LG,21,29,0.72
5,이상윤,일화,17,27,0.63
6,송주석,현대,16,13,1.23
7,윤상철,LG,14,28,0.5
8,마우리,현대,13,14,0.93
9,강재순,현대,12,21,0.57
9,조정현,유공,12,24,0.5
9,김봉길,유공,12,26,0.46
9,김성호,버팔,12,28,0.43
