no,name,team,offSide,numOfGame,offSidePerGame
1,황의조,성남,39,32,1.22
2,코바,울산,29,31,0.94
3,박기동,전남,28,27,1.04
4,아드리아노,서울,26,24,1.08
5,이근호,제주,19,29,0.66
5,송승민,광주,19,32,0.59
7,양동현,포항,18,27,0.67
8,임상협,상주,16,25,0.64
8,케빈,인천,16,28,0.57
