no,name,team,offSide,numOfGame,offSidePerGame
1,세르게이,부천유공,59,28,2.11
2,박건하,수원,33,28,1.18
3,라데,포항,28,32,0.88
4,송주석,울산,26,27,0.96
5,스카첸코,안양LG,22,31,0.71
5,김봉길,전남,22,32,0.69
7,샤샤2,부산,20,19,1.05
7,이기근,수원,20,26,0.77
7,한정국,천안,20,30,0.67
