no,name,team,offSide,numOfGame,offSidePerGame
1,루시오,경남,36,28,1.29
2,설기현,포항,34,16,2.13
3,이동국,전북,29,28,1.04
4,라돈치치,성남,26,27,0.96
5,로브렉,전북,22,25,0.88
6,최성국,성남,20,26,0.77
6,김은중,제주,20,30,0.67
8,데얀,서울,19,28,0.68
9,김영후,강원,18,28,0.64
10,서동현,강원,17,22,0.77
