no,name,team,offSide,numOfGame,offSidePerGame
1,함현기,현대,29,28,1.04
2,최상국,포철,27,19,1.42
3,송주석,현대,26,29,0.9
3,윤상철,럭금,26,30,0.87
5,이태호,대우,24,19,1.26
6,김상진,럭금,19,26,0.73
7,이기근,포철,17,21,0.81
8,조긍연,포철,16,13,1.23
8,정동복,현대,16,22,0.73
10,백종철,일화,15,26,0.58
