no,name,team,offSide,numOfGame,offSidePerGame
1,고정운,일화,35,40,0.88
2,김상진,LG,27,27,1
3,송주석,현대,25,30,0.83
3,김현석2,현대,25,39,0.64
5,이기근,포철,24,37,0.65
6,하석주,대우,23,34,0.68
7,이태호,대우,22,33,0.67
8,이원철,포철,18,34,0.53
9,변병주,현대,16,22,0.73
