no,name,team,offSide,numOfGame,offSidePerGame
1,김도훈,성남,63,40,1.57
2,에드밀손,전북,50,39,1.28
3,우성용,포항,44,40,1.1
4,도도,울산,35,44,0.8
5,제이미,부산,34,21,1.62
5,뚜따,수원,34,31,1.1
7,나드손,수원,33,18,1.83
8,알리송,대전,32,26,1.23
9,쿠키2,부산,31,22,1.41
