no,name,team,Leave,numOfGame,LeavePerGame
1,이효균,인천,1,4,0.25
1,김창수,전북,1,5,0.2
1,배신영,수원FC,1,9,0.11
1,최규백,전북,1,14,0.07
1,정승현,울산,1,15,0.07
1,김동현,포항,1,16,0.06
1,하성민,울산,1,21,0.05
1,이종원,성남,1,22,0.05
1,레이어,수원FC,1,24,0.04
1,아드리아노,서울,1,24,0.04
