no,name,team,Leave,numOfGame,LeavePerGame
1,코니,전남,2,17,0.12
2,강인준,대전,1,1,1
2,이상희,대전,1,3,0.33
2,홍성요,부산,1,4,0.25
2,김대열,대구,1,7,0.14
2,안현식,경남,1,10,0.1
2,이상협,대전,1,10,0.1
2,윤여산,상주,1,11,0.09
2,끼리노,대구,1,12,0.08
2,양준아,제주,1,12,0.08
2,정혁,인천,1,15,0.07
2,홍정호,제주,1,16,0.06
2,하태균,수원,1,17,0.06
2,김민구,대구,1,18,0.06
2,김치곤,상주,1,18,0.06
2,박준혁,대구,1,19,0.05
2,강민혁1,제주,1,20,0.05
2,홍철,성남,1,20,0.05
2,박병주2,광주,1,21,0.05
2,송제헌,대구,1,23,0.04
2,사샤,성남,1,24,0.04
