no,name,team,Leave,numOfGame,LeavePerGame
1,이청용,서울,2,22,0.09
2,구경현,서울,1,5,0.2
2,이요한,전북,1,10,0.1
2,방승환,인천,1,13,0.08
2,김승현,부산,1,18,0.06
2,안정환,부산,1,19,0.05
2,조용형,제주,1,24,0.04
