no,name,team,Leave,numOfGame,LeavePerGame
1,이정수,안양LG,1,9,0.11
1,홍광철,대전,1,10,0.1
1,마니치,부산,1,13,0.08
1,김남일,전남,1,14,0.07
1,김치곤,안양LG,1,14,0.07
1,곽경근,부천SK,1,15,0.07
1,우르모브,부산,1,17,0.06
1,백영철,성남,1,18,0.06
1,김은중,대전,1,19,0.05
1,홍명보,포항,1,19,0.05
1,하리,부산,1,20,0.05
1,안드레,안양LG,1,22,0.05
1,이승엽,포항,1,22,0.05
1,김경량,전북,1,23,0.04
1,박진섭,울산,1,23,0.04
