no,name,team,Leave,numOfGame,LeavePerGame
1,유지훈,부산,2,27,0.07
2,니콜리치,인천,1,7,0.14
2,최재수,수원,1,10,0.1
2,이재원,울산,1,13,0.08
2,이용,제주,1,18,0.06
2,이재성,울산,1,19,0.05
2,안재훈,상주,1,22,0.05
2,이천수,인천,1,28,0.04
2,양준아,상주,1,30,0.03
2,최종환,인천,1,30,0.03
2,알렉스,제주,1,31,0.03
2,김치곤,울산,1,34,0.03
2,파그너,부산,1,34,0.03
