no,name,team,Leave,numOfGame,LeavePerGame
1,윤희준,부산,2,15,0.13
1,박광현,천안,2,23,0.09
3,구즈노프,전남,1,8,0.13
3,김학철2,부산,1,12,0.08
3,장현호,포항,1,21,0.05
3,이문석,울산,1,24,0.04
3,이병근,수원,1,24,0.04
3,최동호,울산,1,24,0.04
3,신성환,수원,1,26,0.04
