no,name,team,Leave,numOfGame,LeavePerGame
1,유준수,울산,2,16,0.13
2,이승렬,전북,1,3,0.33
2,안세희,대전,1,9,0.11
2,한교원,전북,1,26,0.04
2,고무열,포항,1,30,0.03
2,아드리아노,서울,1,30,0.03
2,김태환,울산,1,33,0.03
