no,name,team,Leave,numOfGame,LeavePerGame
1,조병영,LG,1,13,0.08
1,류봉기,일화,1,16,0.06
1,마르첼,일화,1,21,0.05
1,방인웅,일화,1,23,0.04
1,김상진,LG,1,27,0.04
1,공문배,포철,1,28,0.04
1,송주석,현대,1,30,0.03
1,남기영,포철,1,32,0.03
1,조민국,LG,1,32,0.03
1,김성기,대우,1,34,0.03
1,안성일,대우,1,36,0.03
1,구본석,유공,1,37,0.03
