no,name,team,Leave,numOfGame,LeavePerGame
1,사샤,성남,2,24,0.08
2,주승진,부산,1,5,0.2
2,손승준,전북,1,9,0.11
2,홍성요,부산,1,10,0.1
2,케빈,서울,1,11,0.09
2,서상민,경남,1,15,0.07
2,임종은,울산,1,15,0.07
2,김치우,서울,1,20,0.05
2,전광진,성남,1,20,0.05
2,곽희주,수원,1,21,0.05
2,김승용,서울,1,23,0.04
2,에두,수원,1,23,0.04
2,아디2,서울,1,24,0.04
2,이상호1,제주,1,25,0.04
2,하대성,전북,1,26,0.04
2,장학영,성남,1,29,0.03
