no,name,team,score,numOfGame,ScorePergame
1,정조국,광주,16,26,0.62
2,티아고,성남,13,19,0.68
3,아드리아노,서울,13,24,0.54
4,데얀,서울,13,31,0.42
5,양동현,포항,12,27,0.44
6,레오나르도,전북,12,30,0.4
7,산토스,수원,11,30,0.37
8,로페즈,전북,10,29,0.34
9,마르셀로,제주,10,31,0.32
