no,name,team,score,numOfGame,ScorePergame
1,최상국,포철,15,30,0.5
2,이흥실,포철,12,29,0.41
3,노수진,유공,12,30,0.4
4,김주성,대우,10,28,0.36
5,김홍운1,포철,9,26,0.35
6,이상철1,현대,8,28,0.29
7,박항서,럭금,7,28,0.25
8,이태호,대우,6,19,0.32
9,이기근,포철,6,26,0.23
