no,name,team,score,numOfGame,ScorePergame
1,차상해,포철,10,23,0.43
2,윤상철,LG,9,27,0.33
3,라데,포철,8,25,0.32
4,김봉길,유공,8,29,0.28
5,이기근,대우,7,23,0.3
6,김이주,일화,7,24,0.29
7,이상윤,일화,7,29,0.24
8,임재선,현대,6,26,0.23
9,강재순,현대,6,27,0.22
